title	price	listing_url	location	installment	posted_time	year	lower_km	upper_km
Kai Rio 1.4 AT 2012 Abu Abu Metalik	99000000	https://olx.co.id/olxmobbi/item/kai-rio-14-at-2012-abu-abu-metalik-iid-921987473	Jakarta Pusat	0.0	17 Jun	2012.0	105000.0	110000.0
LOW KM!KIA RIO 1.4 AT 2012	99000000	https://olx.co.id/olxmobbi/item/low-kmkia-rio-14-at-2012-iid-921985785	Cinere		17 Jun	2012.0	105000.0	110000.0
Kia Rio 2012 Bensin	135000000	https://olx.co.id/olxmobbi/item/kia-rio-2012-bensin-iid-921976880	Cinere	0.0	17 Jun	2012.0	5000.0	10000.0
[OLXmobbi] Kia Rio 1.4 SE Bensin-AT 2014 Hita	125000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-se-bensin-at-2014-hita-iid-920470914	Pademangan	2800000.0	25 Jun		115000.0	120000.0
[OLX Mobbi] Kia Rio 1.4 SE Bensin-MT 2013 5FE	116000000	https://olx.co.id/olxmobbi/item/olx-mobbi-kia-rio-14-se-bensin-mt-2013-5fe-iid-921850505	JatimakmurKemarin	2600000.0	24 Jun	2013.0	120000.0	125000.0
[OLX Mobbi] Kia Rio 1.4 SE Bensin-AT 2012 KYC	108000000	https://olx.co.id/olxmobbi/item/olx-mobbi-kia-rio-14-se-bensin-at-2012-kyc-iid-922181613	Medan SatriaKemarin	2400000.0	24 Jun		90000.0	95000.0
[OLXmobbi] Kia Rio 1.4 SE Bensin-MT 2013 5FE	110000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-se-bensin-mt-2013-5fe-iid-920746741	RawalumbuKemarin	2400000.0	24 Jun	2013.0	120000.0	125000.0
[OLX Mobbi] Kia Rio 1.4 SE Bensin-AT 2012 KYC	107000000	https://olx.co.id/olxmobbi/item/olx-mobbi-kia-rio-14-se-bensin-at-2012-kyc-iid-921013189	Cibubur	2400000.0	21 Jun	2012.0		95000.0
Jual Kia Rio 2013	112000000	https://olx.co.id/olxmobbi/item/jual-kia-rio-2013-iid-921972395	Cinambo	0.0	17 Jun	2013.0	100000.0	
Jual Kia Rio 2013	112000000	https://olx.co.id/olxmobbi/item/jual-kia-rio-2013-iid-921972292	Cileunyi	0.0	17 Jun	2013.0	100000.0	105000.0
kia rio 2012 low km	98000000	https://olx.co.id/olxmobbi/item/kia-rio-2012-low-km-iid-921944406	Curug	0.0	16 Jun	2012.0	5000.0	10000.0
